ZIP,NAME,YEAR,POVERTY_PERCENT,ALICE_PERCENT,TOTAL_UNDER_ALICE_PER
47708,Vanderburgh,2018,22.82608696,23.91304348,46.73913043
47710,Vanderburgh,2018,23.73049294,31.07505573,54.80554867
47711,Vanderburgh,2018,12.84954407,25.27355623,38.1231003
47712,Vanderburgh,2018,14.90434948,25.46873513,40.37308461
47713,Vanderburgh,2018,38.14664867,29.50967161,67.65632029
47714,Vanderburgh,2018,20.37921658,31.28536783,51.66458441
47715,Vanderburgh,2018,11.47916349,33.28499466,44.76415814
47720,Vanderburgh,2018,11.82919792,21.72533179,33.55452972
47725,Vanderburgh,2018,2.53164557,11.12341772,13.65506329
47601,Warrick,2018,13.04724001,19.86502855,32.91226856
47610,Warrick,2018,11.52508693,23.09985097,34.6249379
47613,Warrick,2018,4.79930192,22.51308901,27.31239092
47619,Warrick,2018,9.585121602,18.59799714,28.18311874
47630,Warrick,2018,5.172290279,17.31499391,22.48728419
47637,Warrick,2018,6.875,27.5,34.375
47523,Spencer,2018,11.46926537,20.53973013,32.0089955
47531,Spencer,2018,10.2310231,25.74257426,35.97359736
47537,Spencer,2018,6.106870229,10.6870229,16.79389313
47550,Spencer,2018,0,13.68421053,13.68421053
47577,Spencer,2018,6.786427146,21.15768463,27.94411178
47579,Spencer,2018,3.810504634,15.55097837,19.36148301
47588,Spencer,2018,9.583333333,18.75,28.33333333
47611,Spencer,2018,7.678571429,18.03571429,25.71428571
47615,Spencer,2018,14.55273698,26.96929239,41.52202937
47634,Spencer,2018,12.17183771,21.59904535,33.77088305
47635,Spencer,2018,12.51105217,22.28116711,34.79221927
47631,Posey,2018,3.605769231,29.80769231,33.41346154
47633,Posey,2018,10.39076377,31.1722913,41.56305506
47638,Posey,2018,7.565543071,15.50561798,23.07116105
47620,Posey,2018,16.40360767,17.30552424,33.70913191
47640,Gibson,2018,8.747044917,21.74940898,30.4964539
47666,Gibson,2018,12.07133059,33.74485597,45.81618656
47665,Gibson,2018,12.84074605,25.32281205,38.16355811
47670,Gibson,2018,11.36363636,27.50208507,38.86572143
47649,Gibson,2018,14.06959153,21.63388805,35.70347958
47660,Gibson,2018,10.70509521,28.66700978,39.37210499
47648,Gibson,2018,7.431629013,18.60879905,26.04042806
47639,Gibson,2018,3.838646714,16.07026675,19.90891347
42461,Henderson,2018,16.3,0,16.3
42462,Henderson,2018,16.3,0,16.3
42406,Henderson,2018,16.3,0,16.3
42420,Henderson,2018,16.3,0,16.3
42452,Henderson,2018,16.3,0,16.3
42458,Henderson,2018,16.3,0,16.3
42451,Henderson,2018,16.3,0,16.3
42301,Henderson,2018,16.3,0,16.3
47708,Vanderburgh,2016,28.81355932,34.46327684,63.27683616
47710,Vanderburgh,2016,22.83856159,30.10711553,52.94567712
47711,Vanderburgh,2016,12.78382582,25.0777605,37.86158631
47712,Vanderburgh,2016,17.67060618,23.47502859,41.14563477
47713,Vanderburgh,2016,37.05882353,31.98257081,69.04139434
47714,Vanderburgh,2016,19.31116566,35.15584319,54.46700885
47715,Vanderburgh,2016,11.17637966,34.3175143,45.49389396
47720,Vanderburgh,2016,12.56112896,21.69903591,34.26016487
47725,Vanderburgh,2016,2.45276765,9.347033477,11.79980113
47601,Warrick,2016,11.27751714,28.8163118,40.09382894
47610,Warrick,2016,13.42756184,24.98738011,38.41494195
47613,Warrick,2016,5.358851675,24.3062201,29.66507177
47619,Warrick,2016,9.893455099,20.2435312,30.1369863
47630,Warrick,2016,7.35908142,20.72025052,28.07933194
47637,Warrick,2016,5.656565657,26.46464646,32.12121212
47523,Spencer,2016,7.060629317,27.09132771,34.15195702
47531,Spencer,2016,7.541899441,17.31843575,24.8603352
47537,Spencer,2016,7.365439093,12.74787535,20.11331445
47550,Spencer,2016,0,2.605863192,2.605863192
47577,Spencer,2016,5.344827586,33.62068966,38.96551724
47579,Spencer,2016,3.105590062,20.28985507,23.39544513
47588,Spencer,2016,28.31541219,17.92114695,46.23655914
47611,Spencer,2016,7.633587786,17.55725191,25.19083969
47615,Spencer,2016,16.7192429,23.18611987,39.90536278
47634,Spencer,2016,11.13610799,17.09786277,28.23397075
47635,Spencer,2016,12.50554324,23.01552106,35.5210643
47631,Posey,2016,5.051813472,22.79792746,27.84974093
47633,Posey,2016,12.32269504,26.41843972,38.74113475
47638,Posey,2016,5.133203379,17.73879142,22.8719948
47620,Posey,2016,13.71000405,19.01579587,32.72579992
47640,Gibson,2016,14.28571429,16.2464986,30.53221289
47666,Gibson,2016,12.82722513,30.10471204,42.93193717
47665,Gibson,2016,11.73312883,24.5398773,36.27300613
47670,Gibson,2016,12.09103841,25.82808372,37.91912213
47649,Gibson,2016,4.318936877,29.06976744,33.38870432
47660,Gibson,2016,12.33075435,28.09477756,40.42553191
47648,Gibson,2016,5.842696629,19.7752809,25.61797753
47639,Gibson,2016,6.737120211,11.62483487,18.36195509
42461,Henderson,2016,17.1,0,17.1
42462,Henderson,2016,17.1,0,17.1
42406,Henderson,2016,17.1,0,17.1
42420,Henderson,2016,17.1,0,17.1
42452,Henderson,2016,17.1,0,17.1
42458,Henderson,2016,17.1,0,17.1
42451,Henderson,2016,17.1,0,17.1
42301,Henderson,2016,17.1,0,17.1
